tcode,description,module,status,replacement,replacement_type,sap_reference,delta_note,review_status,source_item,source_page
COMP,,FI-GRC,deleted,,none,"S4TWL - Global Trade Management (S4TWL item 6.6.2, SAP Note 2267785)","Almost certainly not a real transaction. This looks like a line-wrap fragment of WB25_COMP from the source PDF, so see that record instead, where WB24N is the named successor.",reviewed,6.6.2,376
COM_PR_MDCHECK,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
CPC1-3,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Maintain your indirect activity allocation cycles in KSC1 to KSC3 from now on. The cost-centre transactions take a business process as sender or receiver, which makes the ABC-specific codes redundant, and parallel ABC on delta versions is gone entirely.",reviewed,6.5.2,320
CPC5,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Run indirect activity allocation through KSC5 instead. S/4HANA drops the ABC-specific code because the cost-centre equivalent handles business processes directly, and only operational version 0 ABC survives the move.",reviewed,6.5.2,320
CPII,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","For activity price calculation, switch to KSII. It carries business processes as sender and receiver, so the ABC version of the transaction is retired, along with delta versions and parallel Activity-Based Costing.",reviewed,6.5.2,320
CPP1-3,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Assessment cycle maintenance now happens in KSU1 to KSU3. SAP maps these directly from the ABC codes, since the cost-centre transactions cover business processes too, and note that delta-version ABC does not exist in S/4HANA.",reviewed,6.5.2,320
CPP5,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Use KSU5 to run assessments going forward. The ABC-specific transaction falls away because the standard one covers business processes, and only integrated ABC in version 0 continues.",reviewed,6.5.2,320
CPR,,PPM,deleted,,none,"S4TWL - Construction Progress Report and Valuation (S4TWL item 10.1.31, SAP Note 2267289)",,pending,10.1.31,869
CPTG,,CO,deleted,,none,"S4TWL - GENERAL COST OBJECTS AND COST OBJECT (S4TWL item 6.5.3, SAP Note 2270411)","Template allocation for cost objects ends here. General cost objects do not exist in S/4HANA, so this work moves onto internal orders or product cost collectors instead.",reviewed,6.5.3,324
CPTH,,CO,deleted,,none,"S4TWL - GENERAL COST OBJECTS AND COST OBJECT (S4TWL item 6.5.3, SAP Note 2270411)","The collective template allocation run for cost objects has no home in S/4HANA, because general cost objects themselves are gone. Rebuild the process on internal orders or product cost collectors.",reviewed,6.5.3,324
CPV1-3,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Distribution cycle maintenance moves to KSV1 to KSV3. The cost-centre codes now accept business processes as sender or receiver, so these ABC variants are redundant, and parallel ABC on delta versions is not supported at all.",reviewed,6.5.2,320
CPV5,,CO,replaced,,none,"S4TWL - ACTIVITY-BASED COSTING (S4TWL item 6.5.2, SAP Note 2270408)","Run distributions with KSV5 in S/4HANA. It replaces the ABC-specific code directly, and if you were using parallel Activity-Based Costing on delta versions, be aware delta versions are gone entirely.",reviewed,6.5.2,320
CRM_PRODUCT_LOG,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
CRM_PRODUCT_STA,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
CT01,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT02,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT03,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT04,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT05,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT06,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT11,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT12,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT21,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CT22,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CU51,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CU51E,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CU52,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CU52E,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CU55,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CU80,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CUMODEL,,PLM,deleted,,none,"S4TWL - Variant Configuration (S4TWL item 10.4.8, SAP Note 2267873)",,pending,10.4.8,926
CUSDE,,FI-GRC,replaced,,none,"S4TWL - Foreign Trade (S4TWL item 6.6.1, SAP Note 2267310)","This entry looks like a truncated CUSDEC, cut at a line wrap in the source. Refer to the CUSDEC record, which retires with SD Foreign Trade in favour of the international trade and SAP GTS stack.",reviewed,6.6.1,368
CUSDEC,,FI-GRC,replaced,,none,"S4TWL - Foreign Trade (S4TWL item 6.6.1, SAP Note 2267310)","Customs declarations via EDI end with SD Foreign Trade, which is not part of S/4HANA. Customs handling is re-implemented in SAP S/4HANA for international trade, with SAP GTS covering import and export management.",reviewed,6.6.1,368
DIN,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
DIS01,,IND-Aerospace and Defense,replaced,,none,"S4TWL - Cost Distribution Processing (S4TWL item 13.1.2, SAP Note 2270834)",,pending,13.1.2,1029
DIS01N,,IND-Aerospace and Defense,replaced,,none,"S4TWL - Cost Distribution Processing (S4TWL item 13.1.2, SAP Note 2270834)",,pending,13.1.2,1029
DRM,,IND-High Tech,replaced,,none,"S4TWL - Distributor/Reseller Processes (S4TWL item 13.8.3, SAP Note 2270858)",,pending,13.8.3,1113
DRMBUMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMCDMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMCLMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMIRMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMLMMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPCMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPEMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPPMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPPMS_C,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPPMS_D,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMPPMS_P,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMR3MS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMSTGMS,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
DRMXMRPT,,IND-High Tech,replaced,,none,"S4TWL - Manufacturer/Supplier Processes (S4TWL item 13.8.4, SAP Note 2270856)",,pending,13.8.4,1115
EASYDMS_CUS,,PLM,deleted,,none,"S4TWL - Easy Document Management (Easy DMS) (S4TWL item 10.4.6, SAP Note 2267866)",,pending,10.4.6,924
ECH,,PLM,deleted,,none,"S4TWL - Engineering Change Management ECR/ECO (S4TWL item 10.4.29, SAP Note 2267918)",,pending,10.4.29,951
EDESK_CUS,,PLM,replaced,,none,"S4TWL - Engineering Desktop (EDesk) (S4TWL item 10.4.7, SAP Note 2267868)",,pending,10.4.7,925
EDESK_IPPE,,PLM,replaced,,none,"S4TWL - Engineering Desktop (EDesk) (S4TWL item 10.4.7, SAP Note 2267868)",,pending,10.4.7,925
EDM1,,IND-Utilities,replaced,,none,"S4TWL - Monitoring Profile Value Import (S4TWL item 13.17.3, SAP Note 2270502)",,pending,13.17.3,1381
EHSAMED,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBC02,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP11,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP12,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP13,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP31,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP32,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP33,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP41,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP42,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP43,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP51,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP52,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSBP53,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSCBER,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSCDCT,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSCMAS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSEVAL00,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSEXIST0,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_C_NR_EXA_CO,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_C_NR_NEWPER,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_C_NR_RECN,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_C_NR_VAC_ID,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_D_CALPHYS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSH_D_PCP,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_ACTION_STATUS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_ASSPERSPROT,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_GEN_SERVERS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_IAL,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_REP_GEN_QUEUE,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_REP_REQUESTS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_RISK_ASSESS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSK_D_SHIP_ORDERS,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSMQUEST01,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSPERSHC1,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSPP01,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EHSPRA,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
EN99,,FI-GRC,replaced,,none,"S4TWL - Foreign Trade (S4TWL item 6.6.1, SAP Note 2267310)","Part of the legacy foreign trade toolset that goes when SD-FT does. Intrastat, legal control and commodity code classification are redesigned in International Trade, so your equivalent work happens there.",reviewed,6.6.1,368
EPODSRVC1,,IND-Utilities,replaced,,none,"S4TWL - Maintenance of non-billable Point of Delivery services (S4TWL item 13.17.15, SAP Note 2843756)",,pending,13.17.15,1394
EPODSRVC2,,IND-Utilities,replaced,,none,"S4TWL - Maintenance of non-billable Point of Delivery services (S4TWL item 13.17.15, SAP Note 2843756)",,pending,13.17.15,1394
EPODSRVC3,,IND-Utilities,replaced,,none,"S4TWL - Maintenance of non-billable Point of Delivery services (S4TWL item 13.17.15, SAP Note 2843756)",,pending,13.17.15,1394
ESH_SEARCH,,CROSS,replaced,,none,"S4TWL - ENTERPRISE SEARCH (S4TWL item 3.1.2, SAP Note 2318521)",,pending,3.1.2,36
ESPLOG,,IND-Automotive,deleted,,none,"S4TWL - External Service Providers (S4TWL item 13.2.2, SAP Note 2270357)",,pending,13.2.2,1048
ESPLOGD,,IND-Automotive,deleted,,none,"S4TWL - External Service Providers (S4TWL item 13.2.2, SAP Note 2270357)",,pending,13.2.2,1048
F0125,,CO,deleted,,none,"S4TWL - COST ELEMENTS (S4TWL item 6.5.5, SAP Note 2270419)","The Cost Element fact sheet app is retired along with separate cost element master data. Cost elements are now G/L accounts with their own account types for primary and secondary costs, so you look them up through account-centric apps and G/L account maintenance.",reviewed,6.5.5,327
F0126,,CO,deleted,,none,"S4TWL - COST ELEMENTS (S4TWL item 6.5.5, SAP Note 2270419)","Cost element groups no longer have their own fact sheet app. With cost elements merged into the chart of accounts, grouping is handled through G/L account groups instead.",reviewed,6.5.5,327
FCV1,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","Building A/R summaries is obsolete work now. Credit exposure in S/4HANA is read from FI in real time through HANA views, so FCV1 and the summary it created both go, as part of the move to SAP Credit Management.",reviewed,6.3.1,268
FCV2,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","With no A/R summary left to delete, FCV2 has nothing to do. Exposure is derived in real time under SAP Credit Management, which replaces the old FI-AR-CR component entirely.",reviewed,6.3.1,268
FCV3,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","Instead of pulling an early-warning list, you now get notified. Credit events in SAP Credit Management push exceptions straight to the credit analyst's worklist, replacing the FCV3 report.",reviewed,6.3.1,268
FD01,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FD02,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FD03,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FD05,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FD06,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FD24,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","Changing credit limits works differently now. The FSCM credit limit request process replaces FD24, with each change going through a documented decision.",reviewed,6.3.1,268
FD32,,FI-AP,replaced,UKM_BP (SAP Credit Management),tcode,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","Credit limits move out of FD32 and into SAP Credit Management, where UKM_BP is the transaction you use instead. Credit data now sits on the business partner, so you maintain a risk class once per partner rather than per customer and credit control area.",reviewed,6.3.1,268
FD33,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","Keep FD33 in mind for migration checks only. The simplification item is explicit that it is not a go-forward transaction, and credit master data now lives in SAP Credit Management on the business partner.",reviewed,6.3.1,268
FDK43,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)",Your credit master data list has no one-to-one successor. FDK43 is replaced in practice by the credit profile and exposure views in SAP Credit Management.,reviewed,6.3.1,268
FF-3,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Classic cash management, including FF-3, is not delivered with S/4HANA. The memo record and planning functions it covered are configured afresh in SAP S/4HANA Finance for cash management.",reviewed,6.11.17,447
FF-4,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Not part of S/4HANA. FF-4 falls away with the classic FF* cash management set, and the equivalent capability is set up in the new cash management, with Bank Account Management a core part of the conversion.",reviewed,6.11.17,447
FF-5,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",The classic cash management scope that FF-5 belonged to ends at conversion. You pick up the equivalent memo record and planning functions in SAP S/4HANA Finance for cash management.,reviewed,6.11.17,447
FF-6,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","FF-6 retires with the rest of the old FF* transactions. S/4HANA Finance for cash management is the only compatible successor, so expect the function to be reconfigured rather than migrated.",reviewed,6.11.17,447
FF69,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Memo records and planning move house. FF69 is part of the classic cash management set that is not delivered with S/4HANA, and the new cash management covers the equivalent ground.",reviewed,6.11.17,447
FF70,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",Another classic cash management code that stops at the S/4HANA boundary. FF70's territory is reconfigured inside SAP S/4HANA Finance for cash management.,reviewed,6.11.17,447
FF71,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Out of scope in S/4HANA. FF71 goes with classic Cash and Liquidity Management, and its functions are configured in the new cash management instead.",reviewed,6.11.17,447
FF72,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Ends with the classic FF* set. What FF72 did is covered by SAP S/4HANA Finance for cash management once that is implemented, and Bank Account Management becomes a core workstream of the conversion.",reviewed,6.11.17,447
FF7A,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Your cash position moves to new screens. FF7A is superseded by the Cash Position apps and, from release 1809, the consolidated Cash Flow Analyzer app.",reviewed,6.11.17,447
FF7B,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Liquidity forecasting leaves FF7B behind. The Liquidity Forecast apps take over on the new cash management data model, with the Cash Flow Analyzer arriving later as the consolidated view.",reviewed,6.11.17,447
FF7F,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",Part of the classic FF* set that does not ship with S/4HANA. FF7F's capability is configured in the new cash management as part of the conversion.,reviewed,6.11.17,447
FFTL,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Retired with classic Cash and Liquidity Management. FFTL has no direct carry-over, and the equivalent function is set up in SAP S/4HANA Finance for cash management.",reviewed,6.11.17,447
FFZK,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Classic cash management takes FFZK with it. Plan for the equivalent capability inside the new cash management, alongside the Bank Account Management implementation the conversion requires.",reviewed,6.11.17,447
FI-ARI,,FI-AP,replaced,,none,"S4TWL - Credit Management (S4TWL item 6.3.1, SAP Note 2270544)","This is a component name rather than a transaction code, picked up by the parser. The FI-ARI external credit interface is retired as a whole, with SAP Credit Management taking over credit data on the business partner.",reviewed,6.3.1,268
FI-GL,,IND-Public Sector,deleted,,none,"S4TWL - Funds Management Dimensions as part of the Universal Journal (S4TWL item 13.14.5, SAP Note 2270449)",,pending,13.14.5,1279
FK01,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FK02,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FK03,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FK05,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FK06,,MDM,deleted,,none,"S4TWL - Business Partner Approach (S4TWL item 5.1.27, SAP Note 2265093)",,pending,5.1.27,136
FLQAB,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","The Liquidity Planner toolset is retired, FLQAB included. Actual liquidity calculation and assignment are redesigned inside the new cash management rather than carried over as they were.",reviewed,6.11.17,447
FLQAC,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Liquidity Planner ends in S/4HANA, so FLQAC goes with it. The calculation and assignment of actual liquidity is rebuilt within SAP S/4HANA Finance for cash management.",reviewed,6.11.17,447
FLQAD,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Withdrawn with the Liquidity Planner. FLQAD's role in actual liquidity assignment is redesigned inside the new cash management, not migrated one to one.",reviewed,6.11.17,447
FLQAF,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","One of the retired Liquidity Planner codes. Where FLQAF sat in your process, the new cash management's redesigned actual-liquidity handling takes over.",reviewed,6.11.17,447
FLQAL,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Belongs to the Liquidity Planner, which does not survive conversion. FLQAL's function reappears in redesigned form inside SAP S/4HANA Finance for cash management.",reviewed,6.11.17,447
FLQAM,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",Actual liquidity assignment through FLQAM stops when the Liquidity Planner is retired. The new cash management redesigns this rather than carrying the old transaction across.,reviewed,6.11.17,447
FLQAM_TP,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)","Retired alongside the rest of the Liquidity Planner toolset. FLQAM_TP has no one-to-one successor, and the capability is rebuilt inside the new cash management.",reviewed,6.11.17,447
FLQC10,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",Liquidity Planner codes like FLQC10 end at conversion. Expect the actual-liquidity side to be redesigned within SAP S/4HANA Finance for cash management.,reviewed,6.11.17,447
FLQC12,,FI-TRM,replaced,,none,"S4TWL - CASH MANAGEMENT - GENERAL (S4TWL item 6.11.17, SAP Note 2270400)",No longer part of the picture once Liquidity Planner is retired. FLQC12's work is redesigned inside the new cash management rather than transferred.,reviewed,6.11.17,447
