tcode,description,module,status,replacement,replacement_type,sap_reference,delta_note,review_status,source_item,source_page
CBCMSV,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBCMTG,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBCPAR,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBCS,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBCSTEP,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBIH00,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH02,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH03,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH12,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH13,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH14,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH42,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH43,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH50,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH51,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH52,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH72,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH73,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH82,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH83,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH88,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH89,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH92,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH92OLD,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIH93OLD,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB0,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB1,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB2,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB3,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB4,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB5,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHB6,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHCH1,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHCH2,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHCH3,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHCH4,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHM2,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHM3,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR01,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR02,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR03,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR04,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR05,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR06,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR07,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR08,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHMR09,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHR01,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHSR01,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT0,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT1,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT12,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT13,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT2,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT22,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT23,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT3,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT32,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT33,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT4,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT5,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT52,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT53,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT6,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT62,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT63,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT7,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT72,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
CBIHT73,,EHS,replaced,,none,"S4TWL - Industrial Hygiene and EC interfaces (S4TWL item 9.1.20, SAP Note 2267781)",,pending,9.1.20,565
